id	module	ME
ENSG00000000003	turquoise	1
ENSG00000000005	plum2	49
ENSG00000000419	lightyellow	19
ENSG00000000457	brown	3
ENSG00000000460	turquoise	1
ENSG00000000938	darkorange	26
ENSG00000000971	darkgrey	24
ENSG00000001036	grey60	17
ENSG00000001084	turquoise	1
ENSG00000001167	blue	2
ENSG00000001460	red	6
ENSG00000001461	cyan	14
ENSG00000001497	turquoise	1
ENSG00000001561	turquoise	1
ENSG00000001617	black	7
ENSG00000001626	darkorange	26
ENSG00000001629	darkgreen	22
ENSG00000001630	darkgreen	22
ENSG00000001631	darkgreen	22
ENSG00000002016	steelblue	30
ENSG00000002079	yellow	4
ENSG00000002330	grey	0
ENSG00000002549	lightgreen	18
ENSG00000002586	skyblue	28
ENSG00000002587	darkorange	26
ENSG00000002726	pink	8
ENSG00000002745	skyblue3	37
ENSG00000002746	grey60	17
ENSG00000002822	mediumpurple3	40
ENSG00000002834	floralwhite	44
ENSG00000002919	purple	10
ENSG00000002933	green	5
ENSG00000003056	turquoise	1
ENSG00000003096	darkorange	26
ENSG00000003137	saddlebrown	29
ENSG00000003147	ivory	43
ENSG00000003249	skyblue	28
ENSG00000003393	turquoise	1
ENSG00000003400	lightgreen	18
ENSG00000003402	turquoise	1
ENSG00000003436	turquoise	1
ENSG00000003509	turquoise	1
ENSG00000003756	grey	0
ENSG00000003987	pink	8
ENSG00000003989	darkorange2	45
ENSG00000004059	violet	32
ENSG00000004139	darkgrey	24
ENSG00000004142	purple	10
ENSG00000004399	darkmagenta	34
ENSG00000004455	turquoise	1
ENSG00000004468	lightgreen	18
ENSG00000004478	pink	8
ENSG00000004487	darkorange	26
ENSG00000004534	grey	0
ENSG00000004660	violet	32
ENSG00000004700	turquoise	1
ENSG00000004766	darkgreen	22
ENSG00000004776	tan	12
ENSG00000004777	black	7
ENSG00000004779	black	7
ENSG00000004799	darkolivegreen	33
ENSG00000004809	lightgreen	18
ENSG00000004838	darkturquoise	23
ENSG00000004846	midnightblue	15
ENSG00000004848	lightcyan	16
ENSG00000004864	grey	0
ENSG00000004866	sienna3	35
ENSG00000004897	turquoise	1
ENSG00000004939	skyblue	28
ENSG00000004948	salmon4	52
ENSG00000004961	steelblue	30
ENSG00000004975	red	6
ENSG00000005001	salmon	13
ENSG00000005007	mediumpurple3	40
ENSG00000005020	lightgreen	18
ENSG00000005022	brown	3
ENSG00000005059	sienna3	35
ENSG00000005073	darkred	21
ENSG00000005075	yellow	4
ENSG00000005100	darkgrey	24
ENSG00000005102	royalblue	20
ENSG00000005108	lightsteelblue1	41
ENSG00000005156	black	7
ENSG00000005175	turquoise	1
ENSG00000005187	magenta	9
ENSG00000005189	turquoise	1
ENSG00000005194	lightcyan	16
ENSG00000005206	mediumpurple3	40
ENSG00000005238	darkolivegreen	33
ENSG00000005243	lightyellow	19
ENSG00000005249	green	5
ENSG00000005302	turquoise	1
ENSG00000005339	turquoise	1
ENSG00000005379	green	5
ENSG00000005381	yellow	4
