ME14	ME47	ME33	ME56	ME21	ME26	ME29	ME12	ME24	ME45	ME52	ME9	ME50	ME25	ME39	ME18	ME38	ME22	ME42	ME19	ME31	ME10	ME2	ME5	ME8	ME15	ME48	ME27	ME30	ME17	ME44	ME1	ME3	ME43	ME51	ME32	ME35	ME16	ME41	ME34	ME7	ME54	ME23	ME28	ME49	ME13	ME11	ME20	ME37	ME36	ME46	ME55	ME53	ME4	ME6	ME40	ME0
GSM1172844	0.139701791576081	0.969438407781798	0.0486250182518753	0.0206158246030749	-0.00851478147168031	0.0179823420963313	0.0218378280356442	-0.0171174238052908	0.0065758468164827	-0.032334937079196	-0.0363725686697746	-0.0233600483206705	-0.0256322058936935	-0.0216611782458629	-0.0170540160303369	-0.0199235955360403	-0.00250925758831885	-0.00258365106905486	-0.0277042456448345	-0.0323280587200922	-0.0445417367724453	-0.033171453592139	-0.0222287472600276	-0.032245938448722	-0.0367767767880391	-0.0529338472221072	-0.03154652253761	-0.0251342569633347	-0.024347912277486	0.000883792631062864	-0.023069445487035	0.0877987507673548	-0.0367645427457923	-0.0387678962093772	-0.0173441288185455	-0.0479951497361131	-0.0227868069512711	-0.0495586143649373	-0.0460907529080323	-0.0525546208613095	-0.0790410607859742	-0.0335304095866039	-0.0505695029494158	-0.0820447303075906	-0.0380777855049022	-0.0596528781664578	-0.0246362105258996	-0.0287951217196525	0.0120975418796406	-0.0223179556885323	-0.0407901485222762	0.00742571519906195	0.013295748659805	-0.00200887188185107	-0.0284097583910315	-0.0245047230683156	-0.115550997037909
GSM1172845	0.953559532179246	0.0931932855496351	0.0175220166035247	0.0136733014582466	-0.0245134022369786	-0.0124545423390289	-0.0155566948066111	-0.0279403871350186	-0.00103696356826061	-0.0269964703862079	-0.0418954814004093	-0.0416419094239613	-0.033941566075858	-0.0289546742468185	-0.0116723603212542	-0.00217130363715512	-0.0141879450618979	0.0106290264509468	-0.035485302645368	-0.0333793495312907	-0.0417293658969623	-0.0260058072937985	-0.025650079619689	-0.0363445913920033	-0.0324397285098784	-0.0497691878232662	-0.0370389891692954	-0.0242031827158152	-0.0101809546155627	-0.0343903705792208	-0.0293789149754783	0.0245376456959597	0.00802289262090539	-0.0409212865136698	-0.0351961214789582	-0.0519348893366046	-0.0435336773468467	-0.0341896993544853	-0.0530368309519654	-0.0535541366893033	-0.0838815065392891	-0.0451783607950873	-0.0379589205519779	-0.0777230182502964	-0.0394208975103718	-0.0379152641184992	-0.0244491228853105	-0.023450655875885	-0.0361080857497412	-0.0108754618756829	-0.0439329221032997	0.00717603398154337	0.0193450440297244	-0.0695561544292934	-0.0287438751103555	-0.117370677996262	-0.160226189298331
GSM1172846	-0.0339492635753946	-0.020035437698	0.0167012112186671	-0.0245130204750281	-0.0034061313250392	-0.0184094060988137	0.00659776912479426	-0.0171103715890402	-0.0309206143688006	-0.0518097926009181	-0.0253529865404153	-0.0673439396759307	-0.0296051597460154	-0.030075312338914	-0.0199330207548842	-0.0401444575661141	-0.0468967334816631	-0.0313462053826887	-0.0433507057129621	-0.0446346565245999	-0.0298516950326504	-0.0433425130494799	-0.0282194378657445	-0.0431415754195929	-0.0399842631760093	-0.146122961974514	-0.0423853061443668	-0.0425515852958556	-0.0326422501351839	-0.0400367696355648	-0.0464931980497407	-0.129693350272736	-0.156126456199295	-0.0514496338024458	-0.0295028648061028	-0.0342133971152312	-0.0595285281983891	-0.0340569816283656	-0.0136884851729923	-0.0192479194933227	-0.0349412036529524	-0.0237036063479938	-0.0474767050970472	-0.0437893585896208	-0.0247112345450043	-0.0162755005626649	-0.0444088528198797	-0.0343703554633644	0.0407095933004917	-0.0146408195623904	-0.0255235141269705	-0.000361050037716915	-0.0133366450107483	0.463798264112135	-0.00708749790320939	0.18607353563761	0.0675092351699114
GSM1172847	-0.0368702039103435	-0.0176598831632416	0.029978408644629	-0.0238464039660142	-0.0112697616302751	-0.0163721632869971	0.0119732587399135	-0.0105659401382902	-0.0254786009889994	-0.0369749234251253	-0.0245143539901871	-0.0535920699069118	-0.0191254386656553	-0.0262377973902935	-0.000290077627684007	-0.030310712629423	-0.0294064767262361	-0.0233824656220555	-0.036245190666541	-0.0360868600297034	-0.0362514283418741	-0.0354779522424564	-0.021585195116911	-0.0323763913784512	-0.0249658046398555	-0.122042697142519	-0.030920047195998	-0.0350185716343731	-0.0261815496370046	-0.0180498459024814	-0.0410421400361969	-0.0692346041633107	-0.105460275676951	-0.0436648443184309	-0.0306559724602833	-0.0386596517862348	-0.0554189081962912	-0.032057708701332	-0.0158388775862695	-0.0253354610156574	-0.0447238842327064	-0.0184516845891864	-0.0557810422861787	-0.0478678403494525	-0.0147250303197457	-0.026660235405629	-0.03971575392026	-0.0285224347846919	0.0358494911782641	-0.00103937282006986	-0.0128143841688328	-0.0250972682989455	-0.00850614090184667	0.472209918934856	-0.000987542524994316	0.164922287400198	0.00638551192880499
GSM1172848	-0.0285352216751811	-0.00906307059102229	0.0182532038744945	-0.0115007076726599	-0.0168605480591754	-0.020148599184596	0.00405317927983631	-0.0170547914553287	-0.0313925427131978	-0.0440628756331188	-0.0280292385537183	-0.0578015661105266	-0.0269865486956607	-0.0303420328558318	-0.0122847870008418	-0.026047556160704	-0.0386714819311187	-0.0180369396166642	-0.0379809163028079	-0.0379141221364644	-0.0354019710471784	-0.0376462543872971	-0.0251611515901706	-0.0334255861829824	-0.0307483234434133	-0.118887133663701	-0.0344703233123989	-0.0337115786501742	-0.0265711185387634	-0.0192342547550756	-0.0355190956739711	-0.0660285217471161	-0.0952288565233181	-0.0499494832591032	-0.0285307486593352	-0.033727153034845	-0.0547651339332627	-0.0363952578107729	-0.0164049006619633	-0.0260277351743186	-0.0457028145772385	-0.0387189551994353	-0.0486817902028811	-0.0503663527479122	-0.0192918070840145	-0.0299790688669844	-0.0408353361720554	-0.0325700943575575	0.0261368941734647	-0.00999756569872079	-0.0245955148908218	0.0105492320538223	0.00141384162755054	0.446574992363789	-0.0043194411017391	0.112028417634181	0.0051312582874255
GSM1172849	-0.0342166626900322	-0.0180422095507715	0.0178728278961422	-0.0297779949849895	-0.0105192269908356	-0.022763999161715	0.00666127384353225	-0.019313816409649	-0.0299604008349445	-0.042653847114991	-0.0264828908772074	-0.0634144715798821	-0.0302461854553038	-0.0328525809502878	-0.0145344435279516	-0.0335200670639969	-0.0407312325268187	-0.0233574076556537	-0.0425388677831261	-0.0398576222680951	-0.0380258049133796	-0.0399108212225574	-0.0233809187459547	-0.0382746213392932	-0.0342866357335292	-0.137770523416819	-0.0391519927881496	-0.0348338710195775	-0.0375999630494736	-0.0277340770077	-0.0447574390172662	-0.0896811053519842	-0.122086858885166	-0.0590055465586653	-0.0367233102119657	-0.0335152207707572	-0.0512100977427563	-0.0394000285044107	-0.0168834048424745	-0.0303382417686082	-0.0553343431484916	-0.0422660874991991	-0.0508326334436668	-0.0546885345902017	-0.0263399381517365	-0.0330693993091734	-0.0445573877270473	-0.0348643332153064	0.025808217551585	-0.0178706133342819	-0.0189975824305442	0.000598873359716477	0.00554334141907033	0.432707579673829	-0.0141354748331292	0.116224403129581	0.037428412325065
GSM1172850	0.000738811783902014	-0.00114938376746524	-0.027317223961868	-0.00627236317044762	-0.0224961900460734	-0.0231941082246576	0.00438461274838254	-0.0167251779615405	-0.000651642312486094	0.0147567904290288	0.000603485036005183	0.0251300678771318	-0.0128881063358526	0.00121886356607734	0.000285897056329404	0.00929572810179332	0.00698617419012635	0.0213269216148435	0.00373606043164688	0.0351411373433259	0.0279294619427995	0.0715735495434799	0.00474377132953261	0.0420206162452319	0.0105253494373326	0.145787973744048	0.0180557087287631	0.981347562149206	0.0302987368223127	0.0272830045538915	0.036136587578705	0.14881092177531	0.288353794353993	0.031977339247821	-0.00223060475692976	-0.0177273513059709	0.011006770636231	0.00409477696549575	-0.0184257960168886	0.00207270746351287	-0.00352878479970843	0.00951701756182738	0.028664961725908	-0.00476256870932123	-0.0228125974775687	-0.00479171505941951	0.0205797636326851	0.0023964259728131	-0.0388040520894509	-0.0043491072661296	0.0223632663128485	-0.0001825670127031	-0.0297447105526388	-0.0822051458817832	-0.00505026514923515	-0.152604511959601	-0.16766251390817
GSM1172851	-0.0418059490353569	-0.0412857121262426	-0.0544514891019481	-0.0331931822142715	-0.0328550072786908	-0.0477632215293844	-0.0525812117167975	-0.013924730362886	-0.0559430435901571	-0.0396201829469635	-0.0301123984394234	-0.0529709245265584	-0.0268128892510392	-0.0364142607251665	-0.0420912186534089	-0.0488427755542783	-0.0432588115468827	-0.0414725236385333	-0.0315732023638603	-0.0415108177368259	-0.0380386881783931	-0.0411942270331067	-0.0271449394659888	-0.0417147910445673	-0.0195062270802531	-0.126158439068864	-0.0331498747459524	-0.0318536910981985	-0.0581280273060686	-0.061856485087295	-0.0460519737433531	-0.17449131124909	-0.165875429710675	-0.0242699831835362	-0.0207687890598141	0.949071968898573	0.0712858017666951	-0.000895040976965524	0.0244131062980283	0.015822100394126	0.061869555146656	-0.000390092536863675	0.021306433266337	0.034022764954414	0.0187668124365992	-0.00123748359431689	-0.0473841319061913	-0.02368322460534	-0.00823028340351709	-0.0268425086364951	-0.00358948281932519	-0.00886334567409011	-0.0266618628382966	-0.00632353512709907	-0.0450538950352857	-0.020313976250145	0.151717255981452
GSM1172853	-0.0433371302680987	-0.0369770382067155	-0.0454946829815909	-0.00253521555556095	-0.0269327685069517	-0.0417315675535718	-0.0403039417125257	-0.0306461229827818	-0.0427793058993738	0.030269470481796	-0.035220654543596	-0.0246730591533192	-0.0116662691779611	-0.0206112618301462	-0.0178794233392501	-0.0338068269454547	-0.00250360241725832	-0.00335295776406652	0.017258458616908	0.0482402315697263	0.0172254316473813	0.0493783870936002	-0.00803774215946812	0.0134171116424954	-0.000437745846653313	0.0553780552506716	-0.000398324110563921	0.013972003538286	-0.00909091378614548	-0.0047245785789215	0.969152916604904	0.12812194187487	0.306635230217023	-0.0250658035214528	-0.0122579062409586	-0.0585418161718006	0.00856850055910546	-0.0390447407037801	-0.0319059097064661	-0.0311396464670562	-0.0747345299833294	0.0163915331841037	-0.0430117477983994	-0.010500942190258	-0.0276190881665801	-0.0552135878951832	-0.0300643704902199	-0.0447652098054455	-0.072878168728732	-0.0338339431218725	-0.0451717530476962	-0.0388927261008131	-0.0418276958447749	-0.128079333427122	-0.0815420365701121	-0.227219979582229	-0.162472419910596
GSM1172854	-0.0355270557369701	-0.0188428864381883	-0.043096437008383	-0.0362768407356503	-0.0371425748075057	-0.0416079863274541	-0.0382085540868286	-0.0256439606395317	-0.0385400042647524	0.0147208318571158	-0.0059405893937981	0.0311595685443112	0.0041395362388366	-0.0262881542232452	-0.0185903876337014	-0.0199634874022066	0.000793527554217945	-0.0211253975316536	0.975570136286797	0.0232255473698836	-0.00527939988741314	0.00276463419029289	-0.0219409020324301	0.0385743634783865	0.037600294534601	0.0718069465251628	0.0271967122361954	-0.00283077052866997	-0.0107942739443925	-0.0206488053092644	0.0214663865178612	0.0243681449281471	0.198276195081743	0.0349007327628985	0.00588007212317331	-0.0100227552021551	-0.00310868711442942	-0.00109538203480599	-0.0161756305075097	0.0131646750692944	0.00739498077028751	-0.00214160845348885	0.0646955240780712	0.0692954376228262	0.00535418098757788	-0.00233581249005876	0.00257241148883087	-0.0270810266297648	-0.0304391303653996	-0.0358756175614771	-0.0325438620527893	-0.0194761541155543	-0.033841529813624	-0.0864206397037073	-0.0370590845026451	-0.158039064393697	-0.063165289605974
