Gene	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3	ck_rep1.RPKM	ck_rep2.RPKM	ck_rep3.RPKM	trt_rep1.RPKM	trt_rep2.RPKM	trt_rep3.RPKM	log2FC	pval	qval	ck.mean	trt.mean
AC147602.5_FG004	5480	6075	5934	3370	5784	6432	817.68	859.53	868.905	550.037	873.627	879.536	-0.179973053110376	0.346147915827404	0.840449213257872	5722.4	4857.7
AC148152.3_FG005	187	295	377	169	158	563	9.477	14.177	18.751	9.369	8.106	26.15	-0.109439348970792	0.722458869786103	0.964697764225647	281.4	283.6
AC148152.3_FG008	1220	1166	1175	795	1110	1139	40.038	36.285	37.842	28.539	36.875	34.257	-0.206132620550422	0.290703677602885	0.809997790417159	1166.4	1032.8
AC148167.6_FG001	644	666	668	476	661	549	26.356	25.845	26.828	21.309	27.383	20.591	-0.205057588117723	0.330994794544057	0.830138810737956	647.6	600.5
AC149475.2_FG002	53	52	69	82	131	121	8.058	7.497	10.295	13.638	20.162	16.86	0.961192280958236	0.0116333572366242	0.17201453368056	57.1	80.2
AC149475.2_FG003	537	607	708	1064	1115	1764	33.978	36.419	43.962	73.642	71.416	102.289	1.09846316397749	5.83938026668694e-09	7.16413048178343e-07	606.9	947
AC149475.2_FG005	612	577	611	405	572	484	9.653	8.63	9.458	6.988	9.133	6.996	-0.276587745537159	0.212597985042266	0.751485469937092	589.9	532.4
AC149475.2_FG007	12	16	10	32	10	22	1.276	1.613	1.043	3.721	1.076	2.143	0.689637266530485	0.398895324254809	0.863989951195751	12.4	22.8
AC149810.2_FG008	107	54	87	126	46	123	4.699	2.249	3.75	6.053	2.045	4.951	0.219566809643452	0.542630445220527	0.915438022042518	81.8	113.7
AC149818.2_FG001	48	58	35	52	30	46	2.467	2.827	1.766	2.924	1.561	2.167	-0.102941073267798	0.839959376691702	0.984482253315293	45.9	46.5
AC149818.2_FG004	15	18	24	15	29	23	4.095	4.659	6.43	4.479	8.014	5.754	0.247231216081993	0.715948984069876	0.962785525028675	18.7	20.4
AC149818.2_FG006	378	350	332	265	342	356	26.552	23.312	22.886	20.361	24.318	22.917	-0.109737927513233	0.638897564977731	0.939682536325241	347.1	314.2
AC149818.2_FG007	18	12	14	15	20	14	1.006	0.636	0.768	0.917	1.131	0.717	0.194415333656164	0.800634192094571	0.978501150956527	14.5	15.4
AC149818.2_FG008	48	56	69	46	66	62	2.089	2.311	2.947	2.19	2.908	2.473	0.0435297144545654	0.918789543020394	0.992081844069994	56.7	60.3
AC149828.2_FG002	271	360	238	336	536	543	30.28	38.142	26.097	41.067	60.625	55.603	0.729334647345555	0.00238620465360356	0.0552086513994291	283.1	306.3
AC149829.2_FG003	134	201	88	91	205	113	3.141	4.467	2.024	2.333	4.864	2.427	-0.0166829742198287	0.957786096535976	0.995472653838152	137.2	94.8
AC149829.2_FG004	292	316	424	138	261	352	79.713	81.798	113.588	41.208	72.124	88.063	-0.497704579685672	0.0566888309454652	0.45390530094234	338.7	290
AC149829.2_FG006	710	728	673	617	717	875	39.758	38.656	36.984	37.793	40.643	44.904	0.0895723980615171	0.648827366971969	0.942075436034279	690.7	681.3
AC150739.3_FG001	54	96	76	32	69	53	1.593	2.685	2.2	1.033	2.06	1.433	-0.543078579573307	0.182817826341562	0.720612461475259	73.6	56
AC152495.1_FG002	752	717	527	308	513	391	13.907	12.573	9.564	6.231	9.604	6.627	-0.693780015013029	0.0033999554031806	0.0714525812833242	652.2	436.3
AC152495.1_FG003	122	113	101	76	128	116	1.809	1.589	1.47	1.233	1.921	1.576	-0.0590052112762164	0.865039323976166	0.986815315631193	110	93
AC152495.1_FG010	656	598	571	296	632	502	12.169	10.519	10.395	6.006	11.868	8.534	-0.376166576432075	0.160982122653501	0.691224222070848	597.7	451.7
AC152495.1_FG012	65	85	98	45	88	89	2.444	3.03	3.616	1.851	3.349	3.066	-0.164271684750058	0.663987200399693	0.946724576906301	81.2	74.3
