genes	GOcats
AC148152.3_FG005	GO:0016491
AC148152.3_FG006	GO:0003824
AC148152.3_FG006	GO:0008152
AC148152.3_FG006	GO:0008415
AC148152.3_FG006	GO:0009058
AC148152.3_FG008	GO:0004553
AC148152.3_FG008	GO:0005975
AC149475.2_FG003	GO:0004175
AC149475.2_FG003	GO:0004298
AC149475.2_FG003	GO:0005839
AC149475.2_FG003	GO:0006511
AC149475.2_FG003	GO:0019773
AC149475.2_FG003	GO:0051603
AC149475.2_FG005	GO:0005622
AC149475.2_FG005	GO:0008270
AC149810.2_FG003	GO:0004221
AC149810.2_FG003	GO:0005622
AC149810.2_FG003	GO:0006511
AC149810.2_FG003	GO:0008152
AC149810.2_FG003	GO:0008270
AC149810.2_FG003	GO:0016491
AC149810.2_FG003	GO:0055114
AC149810.2_FG008	GO:0004672
AC149810.2_FG008	GO:0004674
AC149810.2_FG008	GO:0005524
AC149810.2_FG008	GO:0006468
AC149818.2_FG001	GO:0003924
AC149818.2_FG001	GO:0005515
AC149818.2_FG001	GO:0005525
AC149818.2_FG001	GO:0005622
AC149818.2_FG001	GO:0006886
AC149818.2_FG001	GO:0006913
AC149818.2_FG001	GO:0007165
AC149818.2_FG001	GO:0007264
AC149818.2_FG001	GO:0015031
AC149818.2_FG004	GO:0007049
AC149818.2_FG004	GO:0016538
AC149818.2_FG006	GO:0019787
AC149818.2_FG006	GO:0043687
AC149818.2_FG006	GO:0051246
AC149818.2_FG008	GO:0005622
AC149818.2_FG008	GO:0008270
AC149828.2_FG002	GO:0004175
AC149828.2_FG002	GO:0004298
AC149828.2_FG002	GO:0005839
AC149828.2_FG002	GO:0006511
AC149828.2_FG002	GO:0019773
AC149828.2_FG002	GO:0051603
AC149829.2_FG003	GO:0005643
AC149829.2_FG003	GO:0006810
AC149829.2_FG004	GO:0005634
AC149829.2_FG004	GO:0030528
AC149829.2_FG004	GO:0045449
AC149829.2_FG006	GO:0005515
AC150739.3_FG001	GO:0030001
AC150739.3_FG001	GO:0046872
AC152495.1_FG002	GO:0005515
AC152495.1_FG002	GO:0005524
