Date	Cost.per.Mb	Cost.per.Genome
Sep-01	5292.39	95263072
Mar-02	3898.64	70175437
Sep-02	3413.80	61448422
Mar-03	2986.20	53751684
Oct-03	2230.98	40157554
Jan-04	1598.91	28780376
Apr-04	1135.70	20442576
Jul-04	1107.46	19934346
Oct-04	1028.85	18519312
Jan-05	974.16	17534970
Apr-05	897.76	16159699
Jul-05	898.90	16180224
Oct-05	766.73	13801124
Jan-06	699.20	12585659
Apr-06	651.81	11732535
Jul-06	636.41	11455315
Oct-06	581.92	10474556
Jan-07	522.71	9408739
Apr-07	502.61	9047003
Jul-07	495.96	8927342
Oct-07	397.09	7147571
Jan-08	102.13	3063820
Apr-08	15.03	1352982
Jul-08	8.36	752080
Oct-08	3.81	342502
Jan-09	2.59	232735
Apr-09	1.72	154714
Jul-09	1.20	108065
Oct-09	0.78	70333
Jan-10	0.52	46774
Apr-10	0.35	31512
Jul-10	0.35	31125
Oct-10	0.32	29092
Jan-11	0.23	20963
Apr-11	0.19	16712
Jul-11	0.12	10497
Oct-11	0.09	7743
Jan-12	0.09	7666
Apr-12	0.07	5901
Jul-12	0.07	5985
Oct-12	0.07	6618
Jan-13	0.06	5671
Apr-13	0.06	5826
Jul-13	0.06	5550
Oct-13	0.06	5096
Jan-14	0.04	4008
Apr-14	0.05	4920
Jul-14	0.05	4905
Oct-14	0.06	5731
Jan-15	0.04	3970
Apr-15	0.05	4211
Jul-15	0.015	1363
Oct-15	0.014	1245
