Gene	ExonSize	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3
AC147602.5_FG004	483	5480	6075	5934	3370	5784	6432
AC148152.3_FG005	1422	187	295	377	169	158	563
AC148152.3_FG008	2196	1220	1166	1175	795	1110	1139
AC148167.6_FG001	1761	644	666	668	476	661	549
AC149475.2_FG002	474	53	52	69	82	131	121
AC149475.2_FG003	1139	537	607	708	1064	1115	1764
AC149475.2_FG005	4569	612	577	611	405	572	484
AC149475.2_FG007	678	12	16	10	32	10	22
AC149810.2_FG008	1641	107	54	87	126	46	123
AC149818.2_FG001	1402	48	58	35	52	30	46
AC149818.2_FG004	264	15	18	24	15	29	23
AC149818.2_FG006	1026	378	350	332	265	342	356
AC149818.2_FG007	1290	18	12	14	15	20	14
AC149818.2_FG008	1656	48	56	69	46	66	62
AC149828.2_FG002	645	271	360	238	336	536	543
AC149829.2_FG003	3075	134	201	88	91	205	113
AC149829.2_FG004	264	292	316	424	138	261	352
AC149829.2_FG006	1287	710	728	673	617	717	875
AC150739.3_FG001	2443	54	96	76	32	69	53
AC152495.1_FG002	3897	752	717	527	308	513	391
AC152495.1_FG003	4860	122	113	101	76	128	116
AC152495.1_FG010	3885	656	598	571	296	632	502
AC152495.1_FG012	1917	65	85	98	45	88	89
AC152495.1_FG017	3222	121	111	129	81	108	115
AC155376.2_FG004	1626	53	82	57	36	54	50
AC155376.2_FG005	1446	169	139	189	109	213	169
AC155377.1_FG001	5390	1561	1713	1380	1041	1481	1423
AC155377.1_FG002	1521	374	360	312	288	348	382
AC155390.2_FG002	1998	60	97	79	43	57	68
AC155434.2_FG001	930	41	47	39	42	72	53
AC155434.2_FG004	5208	612	692	544	442	650	667
AC155434.2_FG005	1104	98	124	125	95	104	154
AC155434.2_FG006	1437	492	508	549	294	486	458
AC155496.2_FG009	2820	1162	1265	1130	823	1094	1034
AC155610.2_FG007	1419	36	35	67	150	12	32
AC155610.2_FG009	204	165	174	133	111	221	162
AC155622.2_FG001	1194	654	655	589	391	717	705
AC155622.2_FG004	777	257	342	279	147	385	423
AC155624.2_FG006	1973	411	455	419	213	397	402
AC155624.2_FG011	831	913	707	787	908	773	716
AC159612.1_FG007	1359	17	21	16	105	30	152
AC165178.2_FG004	1150	30	25	32	12	17	17
AC166636.1_FG007	720	69	62	68	34	21	19
AC166636.1_FG008	946	95	108	75	82	129	117
AC166636.1_FG009	2623	22	20	13	27	29	30
AC177831.3_FG004	1455	604	535	530	319	461	363
AC177838.2_FG015	783	88	67	94	15	53	43
AC177850.2_FG005	510	112	168	128	191	169	127
AC177897.2_FG002	1098	40	25	32	123	89	119
AC177899.2_FG009	2121	49	60	61	29	44	34
AC177908.3_FG002	2394	328	426	338	290	396	387
AC177922.2_FG002	621	44	51	44	19	44	46
AC177924.2_FG003	336	26	32	18	345	32	55
AC177936.6_FG008	495	273	286	221	258	293	236
AC182482.3_FG003	1656	337	353	431	420	460	449
AC182617.3_FG001	1062	654	718	725	577	629	579
AC182838.3_FG006	372	79	84	88	42	90	109
AC183315.4_FG006	870	73	65	102	66	83	126
AC183319.3_FG001	522	27	24	30	96	19	34
AC183412.5_FG005	3168	122	104	170	97	98	133
AC183509.1_FG001	756	18	20	25	13	12	23
AC183888.4_FG006	630	108	93	83	91	129	95
AC183932.3_FG007	2061	13	29	19	26	23	25
AC183950.2_FG004	1566	11	5	6	8	16	8
AC183950.2_FG005	1467	42	39	59	26	49	54
AC184130.4_FG012	1092	46	65	31	34	77	42
AC184133.3_FG001	594	91	0	0	23	0	2
AC184169.3_FG001	615	104	144	119	75	106	139
AC184170.4_FG002	648	27	37	27	19	37	37
AC184788.2_FG001	739	13	7	14	12	20	20
AC184831.3_FG003	885	9	3	11	13	4	8
AC185226.4_FG001	2790	918	988	895	642	939	884
AC185276.2_FG004	627	107	126	176	67	150	108
AC185300.4_FG002	1077	81	50	69	113	65	97
AC185305.3_FG003	240	41	40	45	44	19	27
AC185415.3_FG005	1473	162	157	166	152	166	166
AC185422.3_FG005	747	12	14	9	5	6	16
AC185466.3_FG001	606	48	44	41	48	62	102
AC185471.3_FG005	778	45	48	62	22	51	53
AC185588.2_FG002	684	46	37	44	57	41	35
AC186164.3_FG001	504	11	17	22	5	11	18
AC186166.3_FG008	705	114	109	92	93	76	111
AC186512.3_FG007	969	283	173	335	266	125	279
AC186782.4_FG003	1203	10	10	7	22	10	12
AC187090.3_FG011	1304	12	12	3	8	19	12
AC187098.4_FG011	1659	235	250	202	186	187	215
AC187157.4_FG002	1425	113	107	84	147	100	117
AC187157.4_FG005	2577	159	147	150	41	94	121
AC187207.3_FG006	1674	13	9	5	2	8	5
AC187263.4_FG001	552	195	197	266	104	81	234
AC187279.3_FG003	327	41	43	27	18	32	32
AC187551.3_FG002	1914	175	171	199	175	142	157
AC187567.4_FG004	447	19	23	9	8	15	13
AC187879.3_FG001	726	38	47	42	16	32	23
AC188023.3_FG005	873	177	139	154	459	120	208
AC188296.3_FG004	450	32	22	42	33	42	32
AC188710.4_FG006	4959	60	58	70	34	54	52
AC188838.3_FG005	1632	7	8	15	43	6	9
AC189750.4_FG004	1548	65	134	57	81	99	174
AC189792.3_FG005	606	13	12	19	11	14	19
AC189879.3_FG003	2955	510	523	474	274	479	397
AC190526.3_FG004	618	16	38	34	14	26	49
AC190544.2_FG004	219	10	14	19	16	14	20
AC190590.3_FG001	525	29	23	23	17	13	28
AC190609.3_FG002	632	1311	2098	1077	1317	2377	1649
AC190609.3_FG003	789	44	61	41	75	70	69
AC190609.3_FG004	2085	147	181	149	100	143	133
AC190614.3_FG004	492	14	15	9	3	5	13
AC190623.3_FG001	679	600	482	746	4845	375	945
AC190628.4_FG007	2664	1963	2428	1894	1113	2158	1964
AC190743.3_FG012	244	109	68	113	43	75	80
AC190750.2_FG014	1482	132	139	139	131	160	110
AC190788.2_FG004	504	14	8	6	2	0	14
AC190788.2_FG005	507	33	42	42	30	30	41
AC190792.2_FG006	600	13	4	6	12	5	4
AC190882.3_FG003	249	19	35	32	16	43	16
AC190909.3_FG004	1593	662	714	706	284	496	519
AC190922.3_FG007	492	36	33	43	19	57	143
AC190925.2_FG002	480	10	12	15	24	12	24
AC190985.3_FG006	867	15	14	23	12	18	12
AC190999.2_FG004	3525	135	209	134	65	165	92
AC191009.3_FG004	330	115	99	131	286	137	223
AC191069.3_FG004	703	48	88	64	103	115	78
AC191097.3_FG007	696	36	19	15	104	12	22
AC191113.2_FG002	1977	980	1112	982	703	930	1009
AC191246.3_FG006	1827	49	78	43	29	53	54
AC191251.3_FG005	1309	68	85	81	47	43	63
AC191283.3_FG004	951	670	762	601	192	539	376
AC191317.3_FG009	531	18	34	41	24	32	32
AC191421.3_FG001	459	109	99	109	89	101	85
AC191575.2_FG001	1383	41	59	19	38	58	39
AC191601.1_FG003	1659	23	20	15	11	17	16
AC191686.3_FG002	480	27	36	30	11	25	36
AC191771.3_FG008	390	74	92	88	109	119	133
AC191804.4_FG002	1034	12	10	12	4	9	12
AC192244.3_FG001	523	225	180	236	402	172	752
AC192244.3_FG007	813	170	185	135	368	195	180
AC192362.3_FG002	495	63	59	69	62	72	74
AC192362.3_FG003	1326	121	165	161	105	137	125
AC192367.2_FG002	531	11	9	8	22	15	18
AC192372.3_FG003	348	43	20	27	18	11	28
AC192451.3_FG001	1218	1032	883	899	947	688	901
AC193324.3_FG002	3603	23	31	19	24	43	42
AC193353.3_FG002	906	263	235	269	215	228	286
AC193379.3_FG001	2940	147	136	157	81	149	164
AC193402.3_FG004	1548	495	589	548	180	506	454
AC193499.3_FG007	576	6	3	11	9	3	30
AC193632.2_FG002	1833	139	118	167	131	112	273
AC193658.3_FG001	447	13	10	12	11	16	20
AC193754.3_FG008	2040	120	164	119	59	83	99
AC193786.3_FG005	744	123	57	4	33	20	18
AC194005.3_FG004	612	13	12	3	6	10	2
AC194022.3_FG013	270	59	42	62	1321	48	133
AC194045.3_FG001	456	13	17	7	5	12	7
AC194056.3_FG008	273	2	4	5	15	6	9
AC194157.3_FG001	204	16	24	16	8	26	25
AC194176.3_FG002	591	7	5	4	9	6	8
AC194264.3_FG006	708	193	196	209	89	210	179
AC194272.3_FG003	402	71	51	67	57	55	60
AC194341.4_FG002	369	309	319	355	918	255	409
AC194341.4_FG004	1488	38	31	28	71	112	157
AC194389.3_FG001	880	269	256	287	120	271	231
AC194405.3_FG021	2253	30	23	13	14	18	12
AC194425.3_FG005	710	21	21	29	98	15	24
AC194485.3_FG002	501	68	61	61	73	43	42
AC194824.2_FG005	1134	25	12	13	19	9	9
AC194878.3_FG001	537	102	125	96	220	53	93
AC194878.3_FG002	537	63	48	48	130	28	58
AC194914.3_FG002	639	23	17	31	56	5	24
AC194937.3_FG004	735	109	87	82	48	72	58
AC194965.4_FG001	1686	226	215	276	228	227	305
AC194965.4_FG004	432	58	62	76	100	71	87
AC194970.5_FG001	1104	359	305	524	668	288	556
AC194970.5_FG002	951	6	5	6	23	0	15
AC194970.5_FG004	2166	399	408	360	226	424	374
AC194970.5_FG005	1035	196	208	228	215	181	235
AC194970.5_FG009	1437	153	112	99	182	169	161
AC194974.3_FG005	2964	111	112	92	86	98	122
AC195154.3_FG004	3546	374	354	376	324	395	372
AC195172.3_FG001	1440	410	405	326	146	290	304
AC195331.3_FG008	186	4	1	0	60	0	2
AC195340.3_FG001	1353	4470	5881	4575	2303	5248	4378
AC195340.3_FG002	672	658	671	718	1241	724	896
AC195340.3_FG004	3444	400	338	507	269	300	498
AC195347.4_FG004	1452	85	83	125	217	110	126
AC195351.3_FG003	780	38	84	82	62	81	91
AC195587.4_FG004	3939	61	46	79	48	58	87
AC195785.3_FG004	3144	47	57	49	52	47	77
AC195796.3_FG001	462	1	0	1	18	5	18
AC195860.3_FG005	315	9	12	7	9	3	6
AC195860.3_FG006	1284	101	128	65	188	144	103
